City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,wailua homesteads,22.0669,-159.378,23.44,93,100,4.12,US,1734335047
82,ayas,40.0193,32.3322,1.12,100,100,1.22,TR,1734335207
83,briare,47.6334,2.7438,6.45,97,90,2.75,FR,1734335208
84,wulingyuan,29.3494,110.5441,10.88,47,0,1.54,CN,1734335209
85,bethel,41.3712,-73.414,0.9,85,100,0.45,US,1734335210
86,tome,-36.6167,-72.95,13.34,94,45,0.83,CL,1734335211
87,palmer,42.1584,-72.3287,-0.83,68,100,2.06,US,1734335213
88,sitka,57.0531,-135.33,0.94,80,0,0.0,US,1734335214
89,hawaiian paradise park,19.5933,-154.9731,21.61,96,0,0.0,US,1734335215
90,port lincoln,-34.7333,135.8667,20.48,66,0,8.82,AU,1734335217
91,laojunmiao,39.8333,97.7333,-1.79,52,0,1.46,CN,1734335218
92,lompoc,34.6391,-120.4579,8.4,100,0,4.12,US,1734335219
93,labrador city,52.9463,-66.9114,-7.68,56,100,8.05,CA,1734335220
94,cadale,2.7603,46.3222,29.37,56,11,9.73,SO,1734335222
95,pangody,65.85,74.4859,-16.63,88,100,7.93,RU,1734335223
96,saldanha,-33.0117,17.9442,18.03,54,85,4.61,ZA,1734335224
97,nantucket,41.2835,-70.0995,3.97,75,0,3.88,US,1734335225
98,hithadhoo,-0.6,73.0833,27.97,79,69,6.43,MV,1734335226
99,margaret river,-33.95,115.0667,18.45,56,1,5.78,AU,1734335227
100,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,46,75,1.0,RU,1734335228
101,west island,-12.1568,96.8225,27.99,83,100,4.12,CC,1734335229
102,mesudiye,40.4625,37.7725,-1.33,95,100,1.76,TR,1734335230
103,road town,18.4167,-64.6167,26.09,72,0,3.39,VG,1734335231
104,gaspe,48.8334,-64.4819,-8.88,79,0,1.54,CA,1734335232
105,tarnogskiy gorodok,60.4997,43.5761,-12.75,96,100,1.7,RU,1734335234
106,ancud,-41.8697,-73.8203,11.11,91,0,0.67,CL,1734335235
107,el hamma,33.8915,9.7963,7.62,61,0,7.05,TN,1734335236
108,laguna,38.421,-121.4238,8.36,93,75,2.57,US,1734335237
109,fortuna,40.5982,-124.1573,11.66,62,100,12.35,US,1734335238
110,ad dabbah,18.05,30.95,24.24,35,2,3.8,SD,1734335239
111,stanley,54.868,-1.6985,9.01,83,75,7.72,GB,1734335240
112,tangalle,6.024,80.7911,27.63,83,95,3.02,LK,1734335241
113,longyearbyen,78.2186,15.6401,-7.09,63,20,6.17,SJ,1734335242
114,minas de marcona,-15.2119,-75.1103,15.34,84,100,3.62,PE,1734335243
115,curuzu cuatia,-29.7917,-58.0546,15.96,89,0,3.22,AR,1734335245
116,qaqortoq,60.7167,-46.0333,-12.4,74,19,4.46,GL,1734335246
117,howrah,22.5892,88.3103,25.0,50,6,4.12,IN,1734335247
118,fale old settlement,-9.3852,-171.2468,27.05,81,100,5.8,TK,1734335248
119,yermentau,51.6214,73.1069,-12.6,84,27,8.98,KZ,1734335249
120,utrik,11.2278,169.8474,27.64,86,13,10.55,MH,1734335250
121,yuzhno-kurilsk,44.0306,145.8556,-3.1,62,98,5.64,RU,1734335251
122,manokwari,-0.8667,134.0833,25.61,88,100,3.24,ID,1734335252
123,san pedro,14.35,121.0167,31.57,81,40,4.12,PH,1734335253
124,puerto ayora,-0.7393,-90.3518,21.44,91,95,2.37,EC,1734335254
125,rudnyy,52.9594,63.1206,-5.6,82,100,9.85,KZ,1734335256
126,vershino-darasunskiy,52.35,115.5167,-19.74,92,0,1.46,RU,1734335257
127,fort collins,40.5853,-105.0844,2.15,40,0,5.66,US,1734335049
128,tubarjal,30.4999,38.216,11.06,16,0,4.37,SA,1734335259
129,mana,5.6592,-53.7767,24.74,90,51,2.53,GF,1734335260
130,luanda,-8.8368,13.2343,28.0,83,40,1.54,AO,1734335196
131,tocopilla,-22.092,-70.1979,19.45,77,97,1.49,CL,1734335262
132,choele choel,-39.2667,-65.6833,23.35,32,100,5.51,AR,1734335263
133,invercargill,-46.4,168.35,10.57,72,16,2.24,NZ,1734335264
134,hermanus,-34.4187,19.2345,18.22,56,40,5.82,ZA,1734335265
135,udachny,66.4167,112.4,-27.13,100,77,2.61,RU,1734335267
136,chibougamau,49.9168,-74.3659,-13.21,92,40,2.06,CA,1734335268
137,uruguaiana,-29.7547,-57.0883,17.96,94,0,1.54,BR,1734335269
